id,name,node_type,category,subtype,brings,agenda,key_people,website,ein,filings_url,latest_fy_revenue,grant_programs,next_date,events,warm_path,fit_score,the_ask,sources,verify_flags
prebys,Conrad Prebys Foundation,org,private funder,private foundation,"money,space,doors","Arts & culture, medical research, health, youth; impact investing (Prebys Ventures); civic infrastructure. Funds creative industries as economic infrastructure; $3M into FY27 city arts rescue; bought California Theatre ($6.3M).","Grant Oliphant (President & CEO); Julie Dubick (Chief of Staff); Emily Young & Chris Sichel (VPs Programs); Alexandra Kritchevsky (Program Officer, arts; alexandra@prebysfdn.org x104); Crystal Page (VP Comms); Mike Krenn (MD Prebys Ventures); board chair Dan Yates; Victoria Hamilton (board)",https://www.prebysfdn.org,20-3216993,https://projects.propublica.org/nonprofits/organizations/203216993,FY2024 revenue $33.97M; expenses $67.5M; net assets $1.092B; grants paid $64.3M,"Leadership Awards ($100k x5 individuals; noms Jun-Jul; announce Feb); Artists Count ($1.3M/42 artists; 2026 window closed Aug 21); Arts Ecosystem Venues & Spaces (2025, closed); Creative Industry Survey (for-profit creative businesses; closes Sept 30 2026)",2026-09-30,Stop & Talk podcast; Leadership Awards celebration ~late Feb 2027,Glus (fellow); Haley (relationships); survey,5,Complete survey by 9/30; newsletter; program-officer demo; TAS in next arts cycle; 2028 award nomination,https://www.prebysfdn.org/grants/2027-prebys-leadership-awards; https://www.prebysfdn.org/making-a-difference/san-diego-creative-industry-survey; https://artistscount.org/,Arts Ecosystem page still shows open (closed Apr 2025); Prebys Ventures scope
dsdp,Downtown San Diego Partnership,org,civic org,501(c)(6) business league,"doors,people,space","Downtown economic advocacy, Clean & Safe, placemaking, Art + Design District; employs Glus.",Betsy Brennan (President & CEO); Justin Apger (COO); Sarah Brothers (SVP Brand); Justine Murray (VP Gov Affairs); Nathan Bishop (VP Planning); board chair Keith B. Jones (ACE Parking); Julie Dubick (Prebys) on board,https://downtownsandiego.org,95-1729734,https://projects.propublica.org/nonprofits/organizations/951729734,FY6/2025 revenue $15.85M; net assets $301k,"Membership $1,500-$20,000; affiliated 501c3s: DSDP Foundation (EIN 33-0961464), Public Spaces Foundation (EIN 46-2438392)",,Create the Future Awards (~late Mar; 2026 was Mar 25),Glus,4,"Buy $1,500 membership; awards table",https://downtownsandiego.org/membership/; https://downtownsandiego.org/about/board-of-directors/,State of Downtown 2026 date not found; Columbia Community Foundation single mention
add,Art + Design District,org,civic org,initiative of DSDP funded by Prebys,"doors,people","Downtown arts district for creatives, creative education and creative workforce (not tourists); five theatres + NewSchool + MCASD + Park & Market; media coalition with SD Magazine and SDFC Playmakers through early 2027.",Jonathon Glus (ED),https://downtownsandiego.org/art-design/,,,,,,Street activations; SD Magazine Arts Edition coverage run to early 2027,Glus,5,Slot in activation calendar / coverage run; advisory roster; anchor intros,https://sandiegomagazine.com/everything-sd/arts-culture/a-conversation-with-arts-and-culture-districts-jonathon-glus/; https://sandiegomagazine.com/everything-sd/art-design-district-sdfc-playmakers-and-san-diego-magazine-launch-new-model-for-local-arts-coverage/,Advisory roster unpublished; spring 2026 plan not found
sdam,San Diego ART Matters (formerly SDRACC),org,advocacy,"501(c)(3) coalition, 150+ orgs","people,doors",Public and private investment in SD arts; local affiliate of Californians for the Arts and Americans for the Arts; brokered County CEP + Prebys match; co-runs Artists Count.,Bob Lehman (ED); James Halliday (interim chair); Shayla James; Jillian Kodama (SDF); Rebecca Pierce Goodman (LJ Playhouse); Erin Spiewak; Jonathon Glus (board); Victoria Hamilton (emeritus),https://sdartmatters.org,,,,,,Advocacy events; rally May 27 2026,Glus; Halliday,5,Join; coffees with Halliday and Lehman,https://sdartmatters.org/who-we-are/our-team/board-of-directors/,EIN not found under this name
cfta,California for the Arts / California Arts Advocates,org,advocacy,statewide 501(c)(3)/(c)(4),doors,Statewide arts advocacy; Performing Arts Equitable Payroll Fund; Creative Economy of California; Glus is board president.,Julie Baker (CEO); Jonathon Glus (board president),https://www.caforthearts.org,,,,,2027-04-28,CA Arts & Culture Summit / Arts Advocacy Day Apr 28-30 2027 Sacramento,Glus,3,Attend Summit via Glus,https://www.caforthearts.org/events,EIN not confirmed
avsd,A Vibrant San Diego (formerly Arts+Culture:San Diego),org,advocacy,coalition,"people,doors",Stable and secure arts funding; Balboa Park support; ran the 2026 restore-the-cuts campaign.,"Christine Martinez (Director, director@avibrantsandiego.org)",https://artsandculturesd.org/,,,,,,,Cold,3,Get on the list; coffee,https://artsandculturesd.org/,SDRACC lineage unconfirmed; no Advocacy Day 2027 date
bacd,San Diego Black Arts & Culture District (SD African American Museum of Fine Art),org,institution,city-designated cultural district,"people,doors",Encanto/Imperial Ave district; named by Glus as a pillar; County $500k (Apr 2026).,Gaidi Finnie (ED),https://www.sdblackacd.org,46-4919537,https://projects.propublica.org/nonprofits/organizations/464919537,2025 revenue $364k,,,,Glus,2,Cross-district collaboration,https://www.kpbs.org/news/local/2022/09/15/san-diegos-black-arts-culture-district-aims-to-empower-and-heal,
sdtheatres,"San Diego Theatres, Inc. (Civic + Balboa Theatres)",org,venue,nonprofit venue operator,"space,doors",Operates the city-owned Civic and Balboa Theatres; District centerpiece.,Carol Wallace (President & CEO); Maria Nieto Senour (board chair),https://www.sandiegotheatres.org,,,,,,Silent Movie Mondays,Glus,2,Future launch-scale venue,https://www.sandiegotheatres.org/about/board-leadership,
symphony,San Diego Symphony / Jacobs Music Center / Rady Shell,org,institution,nonprofit,"doors,people,space",Music Connects community programs; flagship venues.,"Martha Gilmer (President & CEO); Rick Baker (corporate partnerships, rbaker@sandiegosymphony.org)",https://www.sandiegosymphony.org,95-2040874,https://projects.propublica.org/nonprofits/organizations/952040874,FY2023 revenue $93M; net assets $183.6M,,2026-10-03,Opening weekend Oct 3-4 2026,Cold,2,Community-night co-branding later,https://www.sandiegosymphony.org/about/administration/,
mcasd,Museum of Contemporary Art San Diego,org,institution,nonprofit museum,doors,Contemporary art; new director from Oct 2026; Design Week sponsor.,"Brett Littman (Director & CEO, from Oct 2026)",https://mcasd.org,95-1855640,https://projects.propublica.org/nonprofits/organizations/951855640,FY2023 revenue $9.5M; net assets $133M,,,Visiones Nocturnas (Sept 2026-Jan 2027),Cold,2,Post-launch,https://mcasd.org/about/press/mcasd-announces-new-ceo,
sdopera,San Diego Opera,org,institution,nonprofit,doors,Anchor institution; Jacobs collaboration fund with Symphony.,David Bennett (GD & CEO),https://www.sdopera.org,,,,,,,,1,,,
parkmarket,UC San Diego Park & Market,org,venue,university downtown hub,"space,people","66,750 sq ft East Village hub; programmable space; hosts Vanguard Culture Art Garden.",Andrew Waltz (Director of Arts Management),https://calendar.ucsd.edu/park-and-market,,,,,,Art Garden,Vanguard Culture; Glus,4,A creatives.exchange evening downtown,https://today.ucsd.edu/story/collaboration-creative-partnerships-thrive-at-uc-san-diego-park-market,
sdmag,San Diego Magazine,org,media,magazine,"people,doors",Sept 2026 Arts Edition underwritten by Art + Design District; six months of arts coverage into early 2027.,Claire Johnson (CEO),https://sandiegomagazine.com,,,,,,,Glus,4,A story in the coverage run,https://sandiegomagazine.com/things-to-do/fall-arts-preview-2026/,arts editor not confirmed
sdfc,San Diego FC — Playmakers,org,corporate,MLS club creative program,"people,doors",Pays 13 local creatives; quarterly Creative Mixers; co-publisher of SD Magazine arts coverage.,Sebastián Morúa (SVP Brand & Innovation),https://www.sandiegofc.com/club/community/playmakers,,,,Interest form for artists,,Quarterly Creative Mixers,Glus,3,Attend a mixer; compare notes,https://www.sandiegofc.com/club/community/playmakers,
